date,TEDx,Motivation,Innovation,isPartial
2023-08-27,3,82,72,False
2023-09-03,4,87,75,False
2023-09-10,4,91,77,False
2023-09-17,4,91,80,False
2023-09-24,4,96,79,False
2023-10-01,4,92,80,False
2023-10-08,4,93,76,False
2023-10-15,4,90,80,False
2023-10-22,4,86,73,False
2023-10-29,4,82,72,False
2023-11-05,4,91,77,False
2023-11-12,4,86,76,False
2023-11-19,3,81,71,False
2023-11-26,3,87,74,False
2023-12-03,3,88,73,False
2023-12-10,3,84,71,False
2023-12-17,3,70,62,False
2023-12-24,2,59,43,False
2023-12-31,3,77,53,False
2024-01-07,3,90,73,False
2024-01-14,4,85,72,False
2024-01-21,4,91,79,False
2024-01-28,4,94,80,False
2024-02-04,4,96,80,False
2024-02-11,4,92,82,False
2024-02-18,4,97,84,False
2024-02-25,4,100,84,False
2024-03-03,4,96,78,False
2024-03-10,3,95,80,False
2024-03-17,4,96,79,False
2024-03-24,3,92,74,False
2024-03-31,4,92,73,False
2024-04-07,4,79,74,False
2024-04-14,4,83,78,False
2024-04-21,4,85,80,False
2024-04-28,4,83,77,False
2024-05-05,3,78,73,False
2024-05-12,4,81,77,False
2024-05-19,4,74,72,False
2024-05-26,3,76,69,False
2024-06-02,3,72,72,False
2024-06-09,3,71,73,False
2024-06-16,3,65,68,False
2024-06-23,3,66,68,False
2024-06-30,3,61,66,False
2024-07-07,3,70,71,False
2024-07-14,3,68,69,False
2024-07-21,3,66,68,False
2024-07-28,3,62,66,False
2024-08-04,3,67,68,False
2024-08-11,3,66,73,False
2024-08-18,3,65,74,False
2024-08-25,3,73,74,False
2024-09-01,3,68,60,True
